model,FVU_mean
GHAR_M,0.0003189977433066815
GHAR2H_M,0.0003547131491359323
GHAR3H_M,0.0004243309376761317
GNNHAR3L_M,0.0004569257434923202
GNNHAR1L_M,0.00047477224143221974
GNNHAR5L_M,0.0004975628689862788
GNNHAR4L_Q,0.0005116130923852324
GNNHAR3L_Q,0.0005121431313455105
GHAR_Q,0.0005124101298861206
GNNHAR5L_Q,0.0005143455346114933
GNNHAR2L_M,0.0005297651514410973
GNNHAR4L_M,0.0005415312480181456
GNNHAR2L_Q,0.000571151846088469
HAR_Q,0.0006032400415278971
GNNHAR1L_Q,0.0006180667551234365
HAR_Q_IV,0.002192396204918623
GHAR_Q_IV,0.0022216530051082373
GNNHAR5L_Q_IV,0.0022406638599932194
GNNHAR2L_Q_IV,0.002242984250187874
GNNHAR1L_Q_IV,0.002243640134111047
GNNHAR3L_Q_IV,0.0023093060590326786
GNNHAR4L_Q_IV,0.002349474001675844
GNNHAR5L_M_IV,0.002864209469407797
GNNHAR3L_M_IV,0.0028803313616663218
GNNHAR1L_M_IV,0.002965617459267378
GNNHAR4L_M_IV,0.002970307832583785
GHAR_M_IV,0.0030441267881542444
GHAR2H_M_IV,0.003080216236412525
GHAR3H_M_IV,0.003093516221269965
HAR_M_IV,0.003127041505649686
GNNHAR2L_M_IV,0.0038521161768585443
GHAR3H_Q,0.019400376826524734
GHAR2H_Q,0.019942907616496086
GHAR3H_Q_IV,0.022961845621466637
GHAR2H_Q_IV,0.02346692606806755
