model,FVU_mean
GHAR_M,0.001997918
GHAR_M_IV,0.0034682876
GHAR_Q,0.00152868
GHAR_Q_IV,0.001768294
GNNHAR1L_M,0.0012615089
GNNHAR1L_M_IV,0.0031103373
GNNHAR1L_Q,0.0019780912
GNNHAR1L_Q_IV,0.0019958543
GNNHAR2L_M,0.0025997085
GNNHAR2L_M_IV,0.0026830432
GNNHAR2L_Q,0.0017759547
GNNHAR2L_Q_IV,0.0023855346
GNNHAR3L_M,0.0018273643
GNNHAR3L_M_IV,0.004035781
GNNHAR3L_Q,0.0018884953
GNNHAR3L_Q_IV,0.0022278095
HAR_M_IV,0.002254812
HAR_Q,0.0020844652
HAR_Q_IV,0.0022053886
