universe,path,n_assets,n_dates,n_test_dates,n_blocks,fallback_blocks,best_qlike_model,best_test_qlike,best_mse_model,best_test_mse,best_gnn_qlike_model,best_gnn_iv_qlike_model,har_qlike,ghar_qlike,har_iv_qlike,ghar_iv_qlike
sp100,outputs/zhang-scale-local/scale-zhang-roll-multihop-20260611T042850Z/full/sp100,99,1073,44,2,0,GHAR+IV,0.0027252461295574,HAR+IV,6.107729434967041,GNNHAR3L,GNNHAR2L-IV,0.0027713687159121,0.0027774714399129,0.0027261369396001,0.0027252461295574
sp500,outputs/zhang-scale-local/scale-zhang-roll-multihop-20260611T042850Z/full/sp500,449,1223,44,2,0,GHAR+IV,0.0054479339160025,HAR+IV,16.45408058166504,GNNHAR3L,GNNHAR2L-IV,0.0057699433527886,0.0057499096728861,0.0054527665488421,0.0054479339160025
