regime,model,n_dates,mse,qlike
calm,HAR+IV,16,6.531489849090576,0.005215068813413382
calm,GHAR+IV,16,6.515647888183594,0.00522347679361701
calm,GHAR,16,6.447445392608643,0.005298979580402374
calm,HAR,16,6.477573394775391,0.00530126690864563
calm,GNNHAR1L,16,76.24153137207031,0.052200499922037125
calm,GNNHAR1L-IV,16,98.41185760498047,0.05959006026387215
volatile_top_quartile,HAR,6,1.0138075351715088,0.0005908492603339255
volatile_top_quartile,GHAR,6,1.0338791608810425,0.0006084955530241132
volatile_top_quartile,GHAR+IV,6,1.2782795429229736,0.0007934172754175961
volatile_top_quartile,HAR+IV,6,1.3311898708343506,0.0008236898574978113
volatile_top_quartile,GNNHAR1L-IV,6,78.70124816894531,0.05051771178841591
volatile_top_quartile,GNNHAR1L,6,84.48176574707031,0.05243322625756264
