model,estimation,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,MSE,1.020013855407749,0.9996691244283441,0.9949245622557343,0.9994669274808099
HAR,MSE,1.0,1.0,0.975402987891782,0.9997977361282916
HAR+IV,MSE,1.025217281896359,1.0002023047906585,1.0,1.0
GHAR,MSE,0.9967041300626208,1.0007840614895267,0.9721881865071598,1.0005816390305058
GNNHAR1L,MSE,15.737255883528912,13.011968676030499,15.350166410011626,13.009336824867537
GNNHAR1L-IV,MSE,18.654045995135117,14.219906118983737,18.195212199925525,14.217029945716781
