test_date,market_rv_proxy,regime
2025-09-04,1.7602769,calm_bottom_90pct
2025-09-05,1.7293736,calm_bottom_90pct
2025-09-08,1.667859,calm_bottom_90pct
2025-09-09,1.6669585,calm_bottom_90pct
2025-09-10,1.6476841,calm_bottom_90pct
2025-09-11,1.6632491,calm_bottom_90pct
2025-09-12,1.6196724,calm_bottom_90pct
2025-09-15,1.5250323,calm_bottom_90pct
2025-09-16,1.501884,calm_bottom_90pct
2025-09-17,1.5155755,calm_bottom_90pct
2025-09-18,1.5284427,calm_bottom_90pct
2025-09-19,1.5099813,calm_bottom_90pct
2025-09-22,1.4574183,calm_bottom_90pct
2025-09-23,1.4816943,calm_bottom_90pct
2025-09-24,1.5090823,calm_bottom_90pct
2025-09-25,1.5737981,calm_bottom_90pct
2025-09-26,1.5949363,calm_bottom_90pct
2025-09-29,1.6448799,calm_bottom_90pct
2025-09-30,1.6760514,calm_bottom_90pct
2025-10-01,1.7412463,calm_bottom_90pct
2025-10-02,1.7726061,calm_bottom_90pct
2025-10-03,1.7773192,calm_bottom_90pct
2025-10-06,1.7973007,calm_bottom_90pct
2025-10-07,1.821214,calm_bottom_90pct
2025-10-08,1.8285806,calm_bottom_90pct
2025-10-09,1.85036,calm_bottom_90pct
2025-10-10,2.0133352,calm_bottom_90pct
2025-10-13,2.012682,calm_bottom_90pct
2025-10-14,2.1138873,calm_bottom_90pct
2025-10-15,2.133672,calm_bottom_90pct
2025-10-16,2.2253041,calm_bottom_90pct
2025-10-17,2.2397878,calm_bottom_90pct
2025-10-20,2.2300932,calm_bottom_90pct
2025-10-21,2.2333646,calm_bottom_90pct
2025-10-22,2.2442546,calm_bottom_90pct
2025-10-23,2.2753453,calm_bottom_90pct
2025-10-24,2.3392525,calm_bottom_90pct
2025-10-27,2.3373883,calm_bottom_90pct
2025-10-28,2.322974,calm_bottom_90pct
2025-10-29,2.3924584,calm_bottom_90pct
2025-10-30,2.411722,calm_bottom_90pct
2025-10-31,2.3552852,calm_bottom_90pct
2025-11-03,2.4005175,calm_bottom_90pct
2025-11-04,2.3816493,calm_bottom_90pct
2025-11-05,2.3878772,calm_bottom_90pct
2025-11-06,2.4193575,calm_bottom_90pct
2025-11-07,2.4331424,calm_bottom_90pct
2025-11-10,2.281341,calm_bottom_90pct
2025-11-11,2.2622762,calm_bottom_90pct
2025-11-12,2.2738116,calm_bottom_90pct
2025-11-13,2.2222097,calm_bottom_90pct
2025-11-14,2.2507727,calm_bottom_90pct
2025-11-17,2.2342153,calm_bottom_90pct
2025-11-18,2.2395027,calm_bottom_90pct
2025-11-19,2.272113,calm_bottom_90pct
2025-11-20,2.4049532,calm_bottom_90pct
2025-11-21,2.4845536,calm_bottom_90pct
2025-11-24,2.4199095,calm_bottom_90pct
2025-11-25,2.4273343,calm_bottom_90pct
2025-11-26,2.41472,calm_bottom_90pct
2025-11-28,2.3763137,calm_bottom_90pct
2025-12-01,2.3357518,calm_bottom_90pct
2025-12-02,2.3383315,calm_bottom_90pct
2025-12-03,2.3440995,calm_bottom_90pct
2025-12-04,2.367401,calm_bottom_90pct
2025-12-05,2.324295,calm_bottom_90pct
2025-12-08,2.2982154,calm_bottom_90pct
2025-12-09,2.2897444,calm_bottom_90pct
2025-12-10,2.3351903,calm_bottom_90pct
2025-12-11,2.3505745,calm_bottom_90pct
2025-12-12,2.3723798,calm_bottom_90pct
2025-12-15,2.3065925,calm_bottom_90pct
2025-12-16,2.265549,calm_bottom_90pct
2025-12-17,2.2310553,calm_bottom_90pct
2025-12-18,2.1978934,calm_bottom_90pct
2025-12-19,2.176915,calm_bottom_90pct
2025-12-22,1.918896,calm_bottom_90pct
2025-12-23,1.858034,calm_bottom_90pct
2025-12-24,1.7976593,calm_bottom_90pct
2025-12-26,1.7166493,calm_bottom_90pct
2025-12-29,1.6762164,calm_bottom_90pct
2025-12-30,1.6229473,calm_bottom_90pct
2025-12-31,1.5828904,calm_bottom_90pct
2026-01-02,1.592221,calm_bottom_90pct
2026-01-05,1.636767,calm_bottom_90pct
2026-01-06,1.6865233,calm_bottom_90pct
2026-01-07,1.7682476,calm_bottom_90pct
2026-01-08,1.8630834,calm_bottom_90pct
2026-01-09,1.8563608,calm_bottom_90pct
2026-01-12,1.8213145,calm_bottom_90pct
2026-01-13,1.900154,calm_bottom_90pct
2026-01-14,1.907418,calm_bottom_90pct
2026-01-15,1.9555438,calm_bottom_90pct
2026-01-16,1.9588414,calm_bottom_90pct
2026-01-20,2.0761688,calm_bottom_90pct
2026-01-21,2.1853442,calm_bottom_90pct
2026-01-22,2.2409317,calm_bottom_90pct
2026-01-23,2.3191152,calm_bottom_90pct
