universe,n_assets,n_blocks,fallback_blocks,median_edges,median_density,methods
sp100-smoke,12,1,0,44.0,0.6666666666666666,glasso_cv:1
sp500-smoke,25,1,0,152.0,0.5066666666666667,glasso_cv:1
