family,baseline_qlike,real_iv_qlike,fake_iv_qlike,total_iv_improvement,genuine_information_gain,parameter_expansion_gain
HAR,0.0008219649898819625,0.0007928115664981306,0.000820704095531255,2.9153423383831978e-05,2.7892529033124447e-05,1.260894350707531e-06
GHAR,0.0008110853959806263,0.000784933683462441,0.0008136118412949145,2.6151712518185377e-05,2.8678157832473516e-05,-2.5264453142881393e-06
GNNHAR1L,0.0008476105867885053,0.0008348203264176846,0.0008702272898517549,1.279026037082076e-05,3.540696343407035e-05,-2.2616703063249588e-05
