model,layers,estimation,hidden,lr,epochs,batch_size,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic
GNNHAR1L,1,MSE,16,0.001,60,32,96.95933532714844,0.006666659377515316,9.109358787536621,0.004270276054739952
GNNHAR1L-IV,1,MSE,16,0.001,60,32,93.64288330078125,0.007502486929297447,9.623605728149414,0.004607579205185175
GNNHAR2L,2,MSE,16,0.001,60,32,91.25697326660156,0.007382511626929045,9.955597877502441,0.004701193422079086
GNNHAR2L-IV,2,MSE,16,0.001,60,32,95.83625793457031,0.007769270800054073,10.622841835021973,0.005243583116680384
GNNHAR3L,3,MSE,16,0.001,60,32,100.21253967285156,0.008914817124605179,11.664488792419434,0.0057754418812692165
GNNHAR3L-IV,3,MSE,16,0.001,60,32,95.40666198730469,0.007336908485740423,9.773906707763672,0.004606187809258699
GNNHAR3L-IV-random,3,MSE,16,0.001,60,32,96.5659408569336,0.008788883686065674,11.013106346130371,0.0053938752971589565
GNNHAR1L-IV+fakeIV,1,MSE,16,0.001,60,32,99.45386505126953,0.008817234076559544,12.242280960083008,0.0061072101816535
