model,estimation,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,MSE,0.9635439866355014,0.9727422540856822,0.9996525561983777,0.999792735866873
HAR+IV,MSE,0.9638788803780034,0.9729439104618652,1.0,1.0
GHAR+IV-random,MSE,0.9638499519777999,0.9732779390402914,0.9999699875152445,1.0003433174048724
GHAR+fakeIV,MSE,0.9903509004386876,0.9946735678961247,1.0274640523820822,1.0223339261396314
HAR+fakeIV,MSE,0.9935083191849877,0.9959595497587671,1.0307397946050696,1.0236556692008856
GHAR_RANDOM,MSE,0.9982127738735582,0.9977520383629288,1.0356205475547822,1.025498004185346
GHAR,MSE,0.9984966733923437,0.9992796699054107,1.0359150861369266,1.0270681168362972
HAR,MSE,1.0,1.0,1.0374747495326706,1.027808478214629
GNNHAR1L,MSE,1.008466730386571,1.0331056681664343,1.046258768519839,1.0618347646330504
GNNHAR3L-IV,MSE,1.0820366142749407,1.1143726244822556,1.122585665380073,1.1453616313331496
GNNHAR1L-IV,MSE,1.0653972940965688,1.1147092441761302,1.1053227908456225,1.1457076119084477
GNNHAR2L,MSE,1.102151037711337,1.137357283050973,1.1434538717967424,1.1689854582789458
GNNHAR2L-IV,MSE,1.176019390896697,1.2685773401771827,1.2200904230161145,1.303854545505072
GNNHAR3L-IV-random,MSE,1.2192242733349514,1.3049374493465093,1.2649143976023312,1.3412257739781155
GNNHAR3L,MSE,1.2913366515123377,1.397249654874688,1.33972916909012,1.4361050414626688
GNNHAR1L-IV+fakeIV,MSE,1.3553020953769355,1.4775141874836506,1.4060917019422896,1.5186016085780951
