GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.11372913,0.12479219,0.10376788,0.21099824,0.12359154,0.1316312,0.10180729,0.2141262,0.121509,0.13100728,0.10907883,0.21165465,0.1303596,0.12168525,0.10588606,0.21352829,0.12938684,0.11597453,0.108496755,0.22079508,0.12310009,0.12549391,0.10557232,0.22078548,0.0995865,0.124963395,0.080415,0.19924769
0.067848,0.073335506,0.06459679,0.03432445,0.0695223,0.078456365,0.06609367,0.034305632,0.06552437,0.08218467,0.057834513,0.032793786,0.068184495,0.08059714,0.06291362,0.034650106,0.06568829,0.07921084,0.058922626,0.033064432,0.065663636,0.07370617,0.061627463,0.03388388,0.075525604,0.08342488,0.07976529,0.038410485
0.5591849,0.495467,0.5751968,0.5606783,0.5696827,0.48897088,0.57331854,0.5575751,0.56222224,0.48663795,0.57626665,0.5681048,0.5756523,0.48750907,0.5707141,0.55444145,0.56704456,0.49155313,0.5763578,0.5706552,0.5596816,0.50384593,0.56931585,0.5658373,0.5489894,0.47605053,0.5652077,0.54131687
0.028581327,0.042015515,0.026246332,0.06614258,0.031056734,0.04876001,0.025440598,0.06545194,0.029572781,0.04261189,0.029215848,0.065444194,0.032513715,0.044934582,0.026915662,0.06367968,0.03253835,0.04081267,0.028413411,0.06693496,0.028285317,0.041386973,0.027651906,0.06582308,0.025674302,0.037506454,0.021737823,0.056386366
0.06548872,0.031097243,0.053640787,0.053222373,0.06572427,0.031190557,0.052130546,0.051250085,0.062162973,0.023575794,0.0561371,0.0574167,0.06411547,0.031171395,0.05461177,0.053152956,0.064369395,0.029899236,0.054916818,0.057852406,0.061172985,0.031863548,0.055049457,0.05524013,0.057939027,0.047267865,0.042444527,0.05785742
0.15637396,0.1577991,0.1604503,0.21434435,0.14831018,0.17332587,0.15749134,0.20941208,0.15938666,0.15333979,0.15269588,0.21873671,0.14889717,0.1514275,0.15857944,0.19221416,0.15981407,0.17112751,0.1578075,0.20074783,0.15757848,0.15832478,0.16023986,0.20856029,0.1541893,0.14757738,0.14678107,0.1918778
0.2668061,0.30972254,0.28340894,0.2606213,0.28364986,0.34010774,0.285165,0.2679776,0.27844128,0.32398182,0.3039319,0.2565201,0.28114069,0.33489454,0.28453463,0.27340052,0.2730969,0.31976435,0.29068,0.26363966,0.26751196,0.32789224,0.28788143,0.26166838,0.2709061,0.29956278,0.33256337,0.2514599
0.060501076,0.06134217,0.07051941,0.0634621,0.06301635,0.08292575,0.06943598,0.061672676,0.06288955,0.07009793,0.062784925,0.06650292,0.06316402,0.07628372,0.07106237,0.05999899,0.06476549,0.078319654,0.06708101,0.05839028,0.061364423,0.07546029,0.074027225,0.06183461,0.06051987,0.068122275,0.0836393,0.06126697
0.1302217,0.1097482,0.09050337,0.16918182,0.113011286,0.09098496,0.090101145,0.1685306,0.12040745,0.09517095,0.10132554,0.1676545,0.111959375,0.08646583,0.08797116,0.1600905,0.112933725,0.10848066,0.095912375,0.16794942,0.123692036,0.089353435,0.083411045,0.1728952,0.12167235,0.11538605,0.0608831,0.16086362
0.13561042,0.08906392,0.11042337,0.12967584,0.12836143,0.0844259,0.11021941,0.121268,0.13203004,0.08385384,0.108167484,0.1322583,0.12894817,0.082358584,0.110536404,0.115467355,0.13179883,0.09812698,0.11121237,0.12596893,0.13419722,0.086651824,0.107653655,0.12991376,0.13124236,0.0949267,0.09067486,0.1248056
