hidden,lr,layers,num_nn,valid_loss,model,selected,block_id,origin_date
9,0.001,1,1,2.818554401397705,GNNHAR1L,True,0,2025-07-14
9,0.001,2,1,2.7550323009490967,GNNHAR2L,True,0,2025-07-14
9,0.001,3,1,2.707822322845459,GNNHAR3L,True,0,2025-07-14
9,0.001,1,1,2.8067588806152344,GNNHAR1L-IV,True,0,2025-07-14
9,0.001,2,1,2.4585371017456055,GNNHAR2L-IV,True,0,2025-07-14
9,0.001,3,1,2.6062064170837402,GNNHAR3L-IV,True,0,2025-07-14
9,0.001,1,1,0.34879258275032043,GNNHAR1L,True,1,2025-08-13
9,0.001,2,1,0.3336085081100464,GNNHAR2L,True,1,2025-08-13
9,0.001,3,1,0.33882516622543335,GNNHAR3L,True,1,2025-08-13
9,0.001,1,1,0.3325580060482025,GNNHAR1L-IV,True,1,2025-08-13
9,0.001,2,1,0.322314977645874,GNNHAR2L-IV,True,1,2025-08-13
9,0.001,3,1,0.3234861195087433,GNNHAR3L-IV,True,1,2025-08-13
