Universe,Models retained in 5\% MCS
Dow30,"GHAR+IV, GNNHAR3L-IV, HAR+IV, HAR, GHAR, GNNHAR2L-IV ..."
SP100 scale,"GHAR+IV, HAR+IV"
SP500 scale,"GHAR+IV, HAR+IV"
