Model,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\)
\(\mathrm{HAR}^{IV}\),0.9284521253241514,0.9645315594403842,0.035468440559615844
\(\mathrm{GHAR}^{IV}\),0.9114219890866578,0.9549473566731802,0.0450526433268198
\(\mathrm{GNNHAR1L}^{IV}\),0.919946894000285,1.0155255289578309,-0.01552552895783088
\(\mathrm{GNNHAR2L}^{IV}\),0.8832653272336743,0.9992553071404828,0.0007446928595171709
\(\mathrm{GNNHAR3L}^{IV}\),0.8519090098589013,0.9554857647951762,0.04451423520482378
\(\mathrm{GNNHAR1L}_{Q}^{IV}\),2.2777557595756175,1.136019963660461,-0.1360199636604611
