Universe,Base,Candidate,$L_B/L_A$,$\Delta=1-L_B/L_A$,DM,$p$,Conclusion
DOW30,GHAR,GNNHAR1L,1.0442061746290923,-0.044206174629092265,-1.5033117532730105,0.1344638159557631,not significant
DOW30,GHAR+IV,GNNHAR1L-IV,1.0634360591228444,-0.06343605912284445,-2.1735432147979736,0.0310099469772004,significant deterioration
SP100 scale,GHAR,GNNHAR1L,1.0184132087895243,-0.01841320878952435,-4.486840724945068,1.3748103140365233e-05,significant deterioration
SP100 scale,GHAR+IV,GNNHAR1L-IV,1.111960967548493,-0.11196096754849294,-13.485662460327148,0.0,significant deterioration
SP500 scale,GHAR,GNNHAR1L,1.033850377893452,-0.03385037789345202,-8.941329002380371,4.440892098500626e-16,significant deterioration
SP500 scale,GHAR+IV,GNNHAR1L-IV,1.1459451252314372,-0.1459451252314372,-19.73599624633789,0.0,significant deterioration
