Model,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\)
\(\mathrm{HAR}\),1.0,1.0,0.0
\(\mathrm{GHAR}\),0.9984966733923436,0.9992796699054108,0.0007203300945891611
\(\mathrm{GNNHAR1L}\),1.008466730386571,1.0331056681664343,-0.03310566816643434
\(\mathrm{GNNHAR2L}\),1.102151037711337,1.137357283050973,-0.13735728305097306
\(\mathrm{GNNHAR3L}\),1.2913366515123377,1.397249654874688,-0.397249654874688
