Universe,Question,Comparison,\(L_B/L_A\),\(1-L_B/L_A\),DM,\(p\),Result
Dow30,graph linearity,HAR vs GHAR,0.98676350316923,0.013236496830769995,0.4669853746891022,0.6410598534065317,not significant
Dow30,nonlinearity,GHAR vs GNNHAR1L,1.0442061746290923,-0.044206174629092265,-1.5033117532730105,0.1344638159557631,not significant
Dow30,nonlinearity with IV,GHAR+IV vs GNNHAR1L-IV,1.0634360591228444,-0.06343605912284445,-2.1735432147979736,0.0310099469772004,deteriorates
SP100 scale,graph linearity,HAR vs GHAR,0.9976558753767972,0.00234412462320277,1.293396234512329,0.1977382557438405,not significant
SP100 scale,nonlinearity,GHAR vs GNNHAR1L,1.0184132087895243,-0.01841320878952435,-4.486840724945068,1.3748103140365233e-05,deteriorates
SP100 scale,nonlinearity with IV,GHAR+IV vs GNNHAR1L-IV,1.111960967548493,-0.11196096754849294,-13.485662460327148,0.0,deteriorates
SP500 scale,graph linearity,HAR vs GHAR,0.9992796699865479,0.000720330013452064,0.5479628443717957,0.5843851814857577,not significant
SP500 scale,nonlinearity,GHAR vs GNNHAR1L,1.033850377893452,-0.03385037789345202,-8.941329002380371,4.440892098500626e-16,deteriorates
SP500 scale,nonlinearity with IV,GHAR+IV vs GNNHAR1L-IV,1.1459451252314372,-0.1459451252314372,-19.73599624633789,0.0,deteriorates
