Model,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\)
\(\mathrm{HAR}\),1.0,1.0,0.0
\(\mathrm{GHAR}\),0.9625533315584792,0.9867635022318834,0.01323649776811664
\(\mathrm{GNNHAR1L}\),1.0183440358719351,1.0303846866900952,-0.030384686690095197
\(\mathrm{GNNHAR2L}\),1.0038971688963931,1.0463906261042748,-0.0463906261042748
\(\mathrm{GNNHAR3L}\),1.0575276918997378,1.094737451861583,-0.09473745186158311
\(\mathrm{GNNHAR1L}_{Q}\),2.3467125378624054,1.2320045423715082,-0.23200454237150825
