Model,EC,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\)
\(\mathrm{GNNHAR4L}_{M}\),\(M\),1.004042,1.003234,-0.003233999999999959
\(\mathrm{GNNHAR5L}_{M}\),\(M\),1.003038,1.010496,-0.01049600000000006
\(\mathrm{GNNHAR4L}_{Q}\),\(Q\),1.002622,0.978495,0.021504999999999996
\(\mathrm{GNNHAR5L}_{Q}\),\(Q\),1.003253,0.976786,0.023213999999999957
\(\mathrm{GNNHAR4L}_{M}^{IV}\),\(M\),0.978923,0.99553,0.004469999999999974
\(\mathrm{GNNHAR5L}_{M}^{IV}\),\(M\),0.979556,0.993644,0.006356000000000028
\(\mathrm{GNNHAR4L}_{Q}^{IV}\),\(Q\),0.985826,0.936106,0.063894
\(\mathrm{GNNHAR5L}_{Q}^{IV}\),\(Q\),0.980863,0.934228,0.06577200000000005
