Model,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\)
\(\mathrm{HAR}^{IV}\),0.9638788803780034,0.9729439104618652,0.027056089538134764
\(\mathrm{GHAR}^{IV}\),0.9635439866355014,0.9727422540856822,0.027257745914317844
\(\mathrm{GNNHAR1L}^{IV}\),1.0653972940965688,1.1147092441761302,-0.11470924417613015
\(\mathrm{GNNHAR2L}^{IV}\),1.176019390896697,1.2685773401771827,-0.2685773401771827
\(\mathrm{GNNHAR3L}^{IV}\),1.0820366142749407,1.1143726244822556,-0.1143726244822556
