model,layers,estimation,hidden,lr,epochs,batch_size,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic
GNNHAR1L,1,MSE,16,0.001,80,64,8.826689720153809,0.004407621920108795,7.026789665222168,0.0034247185103595257
GNNHAR1L-IV,1,MSE,16,0.001,80,64,8.963342666625977,0.004671014379709959,7.142316818237305,0.0035957777872681618
GNNHAR2L,2,MSE,16,0.001,80,64,8.711504936218262,0.0044431500136852264,7.0415120124816895,0.0034629676956683397
GNNHAR2L-IV,2,MSE,16,0.001,80,64,8.470881462097168,0.004318364430218935,6.85078763961792,0.0033963830210268497
GNNHAR3L,3,MSE,16,0.001,80,64,8.77064037322998,0.004444979131221771,7.233649253845215,0.003505022032186389
GNNHAR3L-IV,3,MSE,16,0.001,80,64,8.38271713256836,0.004312597215175629,6.807034969329834,0.0033635003492236137
GNNHAR3L-IV-random,3,MSE,16,0.001,80,64,8.382965087890625,0.004231662955135107,6.737577438354492,0.0033211095724254847
GNNHAR1L-IV+fakeIV,1,MSE,16,0.001,80,64,9.637151718139648,0.005015978589653969,7.731075286865234,0.0038184586446732283
