family,baseline_qlike,real_iv_qlike,fake_iv_qlike,total_iv_improvement,genuine_information_gain,parameter_expansion_gain
HAR,0.0033707001712173223,0.0032392835710197687,0.0033606458455324173,0.00013141660019755363,0.00012136227451264858,1.0054325684905052e-05
GHAR,0.0033627981320023537,0.003233726602047682,0.0033500827848911285,0.00012907152995467186,0.00011635618284344673,1.2715347111225128e-05
GNNHAR1L,0.0034247185103595257,0.0035957777872681618,0.0038184586446732283,-0.0001710592769086361,0.0002226808574050665,-0.0003937401343137026
