model,family,iv_channel,adjacency,estimation,test_mse,test_qlike,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,GHAR,real,GLASSO,MSE,6.654087066650391,0.003233726602047682,0.9558067286595537,0.9593634668727676,0.9989662162979605,0.9982845067897722
GHAR+IV-random,GHAR,real,Random,MSE,6.655338287353516,0.003236086806282401,0.955986456570401,0.9600636787322718,0.9991540598291669,0.9990131259992279
HAR+IV,HAR,real,Identity,MSE,6.660973072052002,0.0032392835710197687,0.95679584861403,0.9610120765650619,1.0,1.0
GNNHAR3L-IV-random,GNNHAR,real,Random,MSE,6.737577438354492,0.0033211095724254847,0.9677994570765023,0.9852877454911902,1.0115004768032925,1.0252605243140094
GHAR+fakeIV,GHAR,fake,GLASSO,MSE,6.923193454742432,0.0033500827848911285,0.9944617227838073,0.9938833520399568,1.0393666780895197,1.034204851610592
HAR+fakeIV,HAR,fake,Identity,MSE,6.932529449462891,0.0033606458455324173,0.9958027642344471,0.9970171403049255,1.0407682743156972,1.0374657765681323
GHAR_RANDOM,GHAR,none,Random,MSE,6.952759742736816,0.0033608130179345608,0.9987086850978644,0.9970667360546664,1.0438054121415214,1.0375173844000738
GHAR,GHAR,none,GLASSO,MSE,6.944842338562012,0.0033627981320023537,0.9975714129059023,0.9976556683141251,1.0426167863823175,1.0381302094350762
GNNHAR3L-IV,GNNHAR,real,GLASSO,MSE,6.807034969329834,0.0033635003492236137,0.9777764794384489,0.9978639980929812,1.021928011973307,1.0383469910801109
HAR,HAR,none,Identity,MSE,6.96174955368042,0.0033707001712173223,1.0,1.0,1.0451550364150863,1.0405696498365475
GNNHAR2L-IV,GNNHAR,real,GLASSO,MSE,6.85078763961792,0.0033963830210268497,0.984061202833153,1.0076194406221104,1.0284965222817577,1.0484982084966474
GNNHAR1L,GNNHAR,none,GLASSO,MSE,7.026789665222168,0.0034247185103595257,1.009342495164504,1.0160258511283413,1.0549193922889515,1.0572456641334984
GNNHAR2L,GNNHAR,none,GLASSO,MSE,7.0415120124816895,0.0034629676956683397,1.0114572433533036,1.0273734001139874,1.057129632009225,1.0690535792079952
GNNHAR3L,GNNHAR,none,GLASSO,MSE,7.233649253845215,0.003505022032186389,1.0390562312057106,1.039849839542553,1.0859748531631268,1.0820361834153847
GNNHAR1L-IV,GNNHAR,real,GLASSO,MSE,7.142316818237305,0.0035957777872681618,1.0259370526280174,1.0667747365882005,1.0722632775990217,1.1100534141060592
GNNHAR1L-IV+fakeIV,GNNHAR,fake,GLASSO,MSE,7.731075286865234,0.0038184586446732283,1.1105075279213543,1.13283841656382,1.1606525357838706,1.1787972744452033
