model,family,iv_channel,adjacency,estimation,test_mse,test_qlike,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR3H+IV,GHAR,real,Rolling GLASSO-3hop,QLIKE,938.3931274414062,0.011926181614398956,0.48790670176082196,0.9004569775353365,0.7096010880532817,0.9790955765135847
GHAR2H+IV,GHAR,real,Rolling GLASSO-2hop,QLIKE,939.3196411132812,0.011939991265535355,0.48838843187644354,0.9014996412415546,0.7103017060463518,0.9802292979994724
HAR+IV,HAR,real,Identity,QLIKE,1322.4234619140625,0.012180814519524574,0.6875788523652695,0.9196824080665662,1.0,1.0
GHAR+IV,GHAR,real,Rolling GLASSO-1hop,QLIKE,886.5098266601562,0.01227862760424614,0.46093057691465505,0.9270675441880428,0.6703675881377896,1.0080300939288405
GHAR,GHAR,none,Rolling GLASSO-1hop,QLIKE,1712.751708984375,0.012975096702575684,0.8905255301094016,0.9796527285752579,1.2951613142928933,1.0652076412277651
GHAR3H,GHAR,none,Rolling GLASSO-3hop,QLIKE,1514.7830810546875,0.013176042586565018,0.787594021469042,0.9948246527665465,1.145459926173879,1.0817045580527638
GHAR2H,GHAR,none,Rolling GLASSO-2hop,QLIKE,1509.9859619140625,0.013194957748055458,0.7850998146068949,0.9962527954609954,1.141832404976031,1.083257423130885
HAR,HAR,none,Identity,QLIKE,1923.304443359375,0.013244587928056717,1.0,1.0,1.4543786455328034,1.08733187807983
GNNHAR2L-IV,GNNHAR,real,Rolling GLASSO,QLIKE,136.64480590820312,0.03550643101334572,0.07104689347544478,2.6808256478958135,0.10332908470213074,2.914947186531132
GNNHAR4L-IV,GNNHAR,real,Rolling GLASSO,QLIKE,144.94444274902344,0.035532623529434204,0.07536219408709605,2.68280324933051,0.10960516576077099,2.9170974956132136
GNNHAR1L-IV,GNNHAR,real,Rolling GLASSO,QLIKE,146.9319305419922,0.035601746290922165,0.07639556548070509,2.6880221932390276,0.11110807904854046,2.9227722196948553
GNNHAR3L-IV,GNNHAR,real,Rolling GLASSO,QLIKE,137.4873046875,0.035605065524578094,0.07148494101503518,2.68827280380343,0.10396617168943921,2.923044716550514
GNNHAR5L-IV,GNNHAR,real,Rolling GLASSO,QLIKE,140.78916931152344,0.035617269575595856,0.07320170750794473,2.689194240626082,0.10646300021609312,2.92404662418142
GNNHAR3L,GNNHAR,none,Rolling GLASSO,QLIKE,183.82977294921875,0.035742759704589844,0.09558017379096213,2.6986690638275013,0.13900976369788945,2.9343489014874935
GNNHAR5L,GNNHAR,none,Rolling GLASSO,QLIKE,187.69541931152344,0.035753943026065826,0.09759007210719162,2.699513432979394,0.14193291688870596,2.9352670109832135
GNNHAR1L,GNNHAR,none,Rolling GLASSO,QLIKE,181.3087921142578,0.03575803339481354,0.09426941883291835,2.6998222662001727,0.13710342967738434,2.9356028151891764
GNNHAR2L,GNNHAR,none,Rolling GLASSO,QLIKE,171.25494384765625,0.03710126131772995,0.0890420361887849,2.8012393831548636,0.12950083598772782,3.045876879436962
GNNHAR4L,GNNHAR,none,Rolling GLASSO,QLIKE,211.38621520996094,0.045351553708314896,0.10990782865386581,3.4241573958102753,0.1598475989710608,3.723195492027326
