regime,model,n_dates,mse,qlike
calm,GHAR3H+IV,167,1194.87109375,0.01211770810186863
calm,GHAR2H+IV,167,1196.1497802734375,0.012124782428145409
calm,HAR+IV,167,1696.713134765625,0.012351913377642632
calm,GHAR+IV,167,1122.2994384765625,0.01252793986350298
calm,GHAR,167,2222.0302734375,0.013272293843328953
calm,GHAR3H,167,1956.2486572265625,0.013579429127275944
calm,HAR,167,2496.80322265625,0.013589237816631794
calm,GHAR2H,167,1950.1888427734375,0.013603848405182362
calm,GNNHAR2L-IV,167,167.4142303466797,0.04075250029563904
calm,GNNHAR4L-IV,167,178.0789337158203,0.04078413546085358
calm,GNNHAR1L-IV,167,180.90005493164062,0.04086177423596382
calm,GNNHAR3L-IV,167,168.5332489013672,0.04087872430682182
calm,GNNHAR5L-IV,167,172.918701171875,0.04088909924030304
calm,GNNHAR3L,167,229.9227294921875,0.0410153791308403
calm,GNNHAR5L,167,235.03404235839844,0.041024960577487946
calm,GNNHAR1L,167,226.50869750976562,0.04103347286581993
calm,GNNHAR2L,167,213.07907104492188,0.04284517839550972
calm,GNNHAR4L,167,236.18455505371094,0.045258719474077225
volatile_top_quartile,GHAR3H+IV,56,173.5390625,0.011355024762451649
volatile_top_quartile,GHAR2H+IV,56,173.41551208496094,0.011388919316232204
volatile_top_quartile,GHAR+IV,56,183.35133361816406,0.011535138823091984
volatile_top_quartile,HAR+IV,56,206.2386474609375,0.011670567095279694
volatile_top_quartile,GHAR3H,56,198.2696990966797,0.01197308860719204
volatile_top_quartile,GHAR2H,56,197.23727416992188,0.011975583620369434
volatile_top_quartile,GHAR,56,194.01028442382812,0.012088806368410587
volatile_top_quartile,HAR,56,213.04917907714844,0.01221679337322712
volatile_top_quartile,GNNHAR2L-IV,56,44.8859748840332,0.019861914217472076
volatile_top_quartile,GNNHAR4L-IV,56,46.1326904296875,0.01987186074256897
volatile_top_quartile,GNNHAR3L-IV,56,44.9039192199707,0.019878266379237175
volatile_top_quartile,GNNHAR5L-IV,56,44.974327087402344,0.019895929843187332
volatile_top_quartile,GNNHAR1L-IV,56,45.634071350097656,0.019915591925382614
volatile_top_quartile,GNNHAR2L,56,46.52947998046875,0.019972091540694237
volatile_top_quartile,GNNHAR3L,56,46.374000549316406,0.02001906931400299
volatile_top_quartile,GNNHAR1L,56,46.51611328125,0.02002592384815216
volatile_top_quartile,GNNHAR5L,56,46.52486038208008,0.020035021007061005
volatile_top_quartile,GNNHAR4L,56,137.43402099609375,0.04562842845916748
