model,family,iv_channel,adjacency,estimation,test_mse,test_qlike,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,GHAR,real,Rolling GLASSO,MSE,34.259124755859375,0.007611569482833147,0.9746795410961209,0.9654018658691009,0.9994999619935502,0.9987130642159143
HAR+IV,HAR,real,Identity,MSE,34.27626419067383,0.00762137770652771,0.9751671617396325,0.966645877038801,1.0,1.0
HAR,HAR,none,Identity,MSE,35.14911651611328,0.007884353399276733,1.0,1.0,1.0254652117448946,1.0345050072146122
GHAR,GHAR,none,Rolling GLASSO,MSE,35.15461349487305,0.007893229834735394,1.000156390239773,1.0011258292226568,1.0256255844952382,1.0356696831827192
GNNHAR1L,GNNHAR,none,Rolling GLASSO,MSE,242.39385986328125,0.08831539750099182,6.896157966080357,11.2013494358451,7.071770088912834,11.587852078942326
