array,shape,n_dates,n_tickers,finite_share,nonpositive_count,min,max
truth,"(234, 91)",234,91,1.0,0,0.2806670665740967,60.47580337524414
pred_GHAR2H_M,"(234, 91)",234,91,1.0,0,0.32172995805740356,58.76872253417969
pred_GHAR2H_M_IV,"(234, 91)",234,91,1.0,0,0.22906607389450073,57.84471130371094
pred_GHAR3H_M,"(234, 91)",234,91,1.0,0,0.32996663451194763,58.646854400634766
pred_GHAR3H_M_IV,"(234, 91)",234,91,1.0,0,0.22720789909362793,57.86520004272461
pred_GHAR_M,"(234, 91)",234,91,1.0,0,0.3203939199447632,58.82004928588867
pred_GHAR_M_IV,"(234, 91)",234,91,1.0,0,0.22909492254257202,57.8223762512207
pred_GHAR_Q,"(234, 91)",234,91,1.0,0,0.32228320837020874,59.392391204833984
pred_GHAR_Q_IV,"(234, 91)",234,91,1.0,0,0.29186126589775085,57.29995346069336
pred_GNNHAR1L_M,"(234, 91)",234,91,1.0,0,0.32009443640708923,58.85928726196289
pred_GNNHAR1L_M_IV,"(234, 91)",234,91,1.0,0,0.21030092239379883,57.871742248535156
pred_GNNHAR1L_Q,"(234, 91)",234,91,1.0,0,0.32270532846450806,59.43829345703125
pred_GNNHAR1L_Q_IV,"(234, 91)",234,91,1.0,0,0.28644612431526184,57.301700592041016
pred_GNNHAR2L_M,"(234, 91)",234,91,1.0,0,0.3245711326599121,58.72245788574219
pred_GNNHAR2L_M_IV,"(234, 91)",234,91,1.0,0,0.23283928632736206,57.94435119628906
pred_GNNHAR2L_Q,"(234, 91)",234,91,1.0,0,0.32649171352386475,59.225032806396484
pred_GNNHAR2L_Q_IV,"(234, 91)",234,91,1.0,0,0.2889215350151062,57.30942153930664
pred_GNNHAR3L_M,"(234, 91)",234,91,1.0,0,0.320753276348114,58.705596923828125
pred_GNNHAR3L_M_IV,"(234, 91)",234,91,1.0,0,0.22739799320697784,57.92884063720703
pred_GNNHAR3L_Q,"(234, 91)",234,91,1.0,0,0.3246774971485138,59.25068664550781
pred_GNNHAR3L_Q_IV,"(234, 91)",234,91,1.0,0,0.3019402027130127,57.30403518676758
pred_GNNHAR4L_M,"(234, 91)",234,91,1.0,0,0.3269887864589691,58.75731658935547
pred_GNNHAR4L_M_IV,"(234, 91)",234,91,1.0,0,0.22800379991531372,57.869510650634766
pred_GNNHAR4L_Q,"(234, 91)",234,91,1.0,0,0.3288949131965637,59.29636764526367
pred_GNNHAR4L_Q_IV,"(234, 91)",234,91,1.0,0,0.30334755778312683,57.200408935546875
pred_GNNHAR5L_M,"(234, 91)",234,91,1.0,0,0.32991617918014526,58.80369567871094
pred_GNNHAR5L_M_IV,"(234, 91)",234,91,1.0,0,0.2268122434616089,57.939083099365234
pred_GNNHAR5L_Q,"(234, 91)",234,91,1.0,0,0.32650354504585266,59.1934814453125
pred_GNNHAR5L_Q_IV,"(234, 91)",234,91,1.0,0,0.30089887976646423,57.25440216064453
pred_HAR_M,"(234, 91)",234,91,1.0,0,0.35991787910461426,59.51322555541992
pred_HAR_M_IV,"(234, 91)",234,91,1.0,0,0.216549813747406,58.089263916015625
pred_HAR_Q,"(234, 91)",234,91,1.0,0,0.3231196403503418,59.83625411987305
pred_HAR_Q_IV,"(234, 91)",234,91,1.0,0,0.2982833981513977,57.245147705078125
