test_date,market_rv_proxy,regime
2025-07-07,2.8258328,calm_bottom_90pct
2025-07-08,2.8138256,calm_bottom_90pct
2025-07-09,2.772872,calm_bottom_90pct
2025-07-10,2.7264278,calm_bottom_90pct
2025-07-11,2.690029,calm_bottom_90pct
2025-07-14,2.4899588,calm_bottom_90pct
2025-07-15,2.5589936,calm_bottom_90pct
2025-07-16,2.5082893,calm_bottom_90pct
2025-07-17,2.4864736,calm_bottom_90pct
2025-07-18,2.4937239,calm_bottom_90pct
2025-07-21,2.4498515,calm_bottom_90pct
2025-07-22,2.6359541,calm_bottom_90pct
2025-07-23,2.8279603,calm_bottom_90pct
2025-07-24,2.8018193,calm_bottom_90pct
2025-07-25,2.8310375,calm_bottom_90pct
2025-07-28,2.749034,calm_bottom_90pct
2025-07-29,2.8196685,calm_bottom_90pct
2025-07-30,2.843664,calm_bottom_90pct
2025-07-31,2.9367797,calm_bottom_90pct
2025-08-01,3.037644,calm_bottom_90pct
2025-08-04,3.1110146,calm_bottom_90pct
2025-08-05,3.0959768,calm_bottom_90pct
2025-08-06,3.1628203,calm_bottom_90pct
2025-08-07,3.2508357,calm_bottom_90pct
2025-08-08,3.342376,calm_bottom_90pct
2025-08-11,3.4095938,calm_bottom_90pct
2025-08-12,3.4148116,calm_bottom_90pct
2025-08-13,3.5072424,calm_bottom_90pct
2025-08-14,3.4455168,calm_bottom_90pct
2025-08-15,3.70779,calm_bottom_90pct
2025-08-18,3.7117307,calm_bottom_90pct
2025-08-19,3.7433033,calm_bottom_90pct
2025-08-20,3.7771695,calm_bottom_90pct
2025-08-21,3.5281403,calm_bottom_90pct
2025-08-22,3.4301376,calm_bottom_90pct
2025-08-25,3.3488877,calm_bottom_90pct
2025-08-26,3.265337,calm_bottom_90pct
2025-08-27,3.2101943,calm_bottom_90pct
2025-08-28,3.0638602,calm_bottom_90pct
2025-08-29,3.0700965,calm_bottom_90pct
2025-09-02,2.6536288,calm_bottom_90pct
2025-09-03,2.6947815,calm_bottom_90pct
2025-09-04,2.676037,calm_bottom_90pct
2025-09-05,2.7260916,calm_bottom_90pct
2025-09-08,2.5374403,calm_bottom_90pct
2025-09-09,2.518772,calm_bottom_90pct
2025-09-10,3.1084535,calm_bottom_90pct
2025-09-11,3.1792893,calm_bottom_90pct
2025-09-12,3.1558468,calm_bottom_90pct
2025-09-15,2.9295805,calm_bottom_90pct
2025-09-16,2.8580184,calm_bottom_90pct
2025-09-17,2.9149065,calm_bottom_90pct
2025-09-18,3.0271366,calm_bottom_90pct
2025-09-19,2.9897337,calm_bottom_90pct
2025-09-22,2.952471,calm_bottom_90pct
2025-09-23,2.8919218,calm_bottom_90pct
2025-09-24,2.9196243,calm_bottom_90pct
2025-09-25,3.0124555,calm_bottom_90pct
2025-09-26,3.0522063,calm_bottom_90pct
2025-09-29,3.082834,calm_bottom_90pct
2025-09-30,3.1322176,calm_bottom_90pct
2025-10-01,3.3301811,calm_bottom_90pct
2025-10-02,3.3404956,calm_bottom_90pct
2025-10-03,3.2910101,calm_bottom_90pct
2025-10-06,3.4982927,calm_bottom_90pct
2025-10-07,3.5019183,calm_bottom_90pct
2025-10-08,3.512096,calm_bottom_90pct
2025-10-09,3.5207353,calm_bottom_90pct
2025-10-10,3.3741975,calm_bottom_90pct
2025-10-13,3.425416,calm_bottom_90pct
2025-10-14,3.461646,calm_bottom_90pct
2025-10-15,3.4960742,calm_bottom_90pct
2025-10-16,3.5607226,calm_bottom_90pct
2025-10-17,3.6053915,calm_bottom_90pct
2025-10-20,3.488716,calm_bottom_90pct
2025-10-21,3.5779724,calm_bottom_90pct
2025-10-22,3.724149,calm_bottom_90pct
2025-10-23,3.7800019,calm_bottom_90pct
2025-10-24,3.8026774,calm_bottom_90pct
2025-10-27,3.888354,calm_bottom_90pct
2025-10-28,3.8420215,calm_bottom_90pct
2025-10-29,4.0123043,calm_bottom_90pct
2025-10-30,4.142632,calm_bottom_90pct
2025-10-31,3.8774774,calm_bottom_90pct
2025-11-03,3.9682312,calm_bottom_90pct
2025-11-04,4.0735526,calm_bottom_90pct
2025-11-05,3.9247363,calm_bottom_90pct
2025-11-06,3.9453619,calm_bottom_90pct
2025-11-07,3.911862,calm_bottom_90pct
2025-11-10,3.6607668,calm_bottom_90pct
2025-11-11,3.6794827,calm_bottom_90pct
2025-11-12,3.5960166,calm_bottom_90pct
2025-11-13,3.7171738,calm_bottom_90pct
2025-11-14,3.6758275,calm_bottom_90pct
2025-11-17,3.7655642,calm_bottom_90pct
2025-11-18,3.7282622,calm_bottom_90pct
2025-11-19,3.7212136,calm_bottom_90pct
2025-11-20,3.7961328,calm_bottom_90pct
2025-11-21,3.8038783,calm_bottom_90pct
2025-11-24,3.9993412,calm_bottom_90pct
2025-11-25,3.9772687,calm_bottom_90pct
2025-11-26,3.9432752,calm_bottom_90pct
2025-11-28,3.8524477,calm_bottom_90pct
2025-12-01,3.7713418,calm_bottom_90pct
2025-12-02,3.7597818,calm_bottom_90pct
2025-12-03,3.8187032,calm_bottom_90pct
2025-12-04,3.7023854,calm_bottom_90pct
2025-12-05,3.6075175,calm_bottom_90pct
2025-12-08,3.6534636,calm_bottom_90pct
2025-12-09,3.5573294,calm_bottom_90pct
2025-12-10,3.5556648,calm_bottom_90pct
2025-12-11,3.560984,calm_bottom_90pct
2025-12-12,3.6846411,calm_bottom_90pct
2025-12-15,3.6339483,calm_bottom_90pct
2025-12-16,3.5684898,calm_bottom_90pct
2025-12-17,3.5916936,calm_bottom_90pct
2025-12-18,3.5850291,calm_bottom_90pct
2025-12-19,3.688499,calm_bottom_90pct
2025-12-22,3.2909696,calm_bottom_90pct
2025-12-23,3.173348,calm_bottom_90pct
2025-12-24,2.9138868,calm_bottom_90pct
2025-12-26,2.8219414,calm_bottom_90pct
2025-12-29,2.7701442,calm_bottom_90pct
2025-12-30,2.660335,calm_bottom_90pct
2025-12-31,2.6037204,calm_bottom_90pct
2026-01-02,2.6652863,calm_bottom_90pct
2026-01-05,2.7858882,calm_bottom_90pct
2026-01-06,2.92301,calm_bottom_90pct
2026-01-07,3.0401547,calm_bottom_90pct
2026-01-08,3.185745,calm_bottom_90pct
2026-01-09,3.2394872,calm_bottom_90pct
