regime,model,n_dates,mse,qlike,mse_ratio_vs_HAR_M,qlike_ratio_vs_HAR_M,model_class,depth,uses_iv,training_loss,rank_qlike_within_regime,rank_mse_within_regime
turbulent_top_10pct,GNNHAR1L_Q_IV,24,1.2008966207504272,0.009987466968595982,0.9935217,0.92377883,GNNHAR,1.0,True,QLIKE-trained,2.0,18.0
turbulent_top_10pct,GHAR_Q_IV,24,1.2025904655456543,0.010001406073570251,0.99492306,0.92506814,GHAR,,True,QLIKE-trained,3.0,19.0
turbulent_top_10pct,GNNHAR3L_Q_IV,24,1.205680251121521,0.010091685689985752,0.99747926,0.93341845,GNNHAR,3.0,True,QLIKE-trained,4.0,23.0
turbulent_top_10pct,HAR_M_IV,24,1.122564435005188,0.01011707354336977,0.9287162,0.93576664,HAR,,True,MSE-trained,5.0,1.0
turbulent_top_10pct,GHAR_M_IV,24,1.1295063495635986,0.010159033350646496,0.9344593,0.9396477,GHAR,,True,MSE-trained,6.0,2.0
turbulent_top_10pct,GHAR3H_M_IV,24,1.131797194480896,0.010159366764128208,0.9363546,0.9396785,GHAR,,True,MSE-trained,7.0,3.0
turbulent_top_10pct,GHAR2H_M_IV,24,1.132614016532898,0.010162747465074062,0.9370304,0.9399912,GHAR,,True,MSE-trained,8.0,4.0
turbulent_top_10pct,GNNHAR5L_Q_IV,24,1.206409215927124,0.010187803767621517,0.99808234,0.9423087,GNNHAR,5.0,True,QLIKE-trained,9.0,24.0
turbulent_top_10pct,GNNHAR2L_Q_IV,24,1.2160592079162598,0.010202125646173954,1.006066,0.94363344,GNNHAR,2.0,True,QLIKE-trained,10.0,31.0
turbulent_top_10pct,GNNHAR4L_Q_IV,24,1.210250973701477,0.010241192765533924,1.0012608,0.9472469,GNNHAR,4.0,True,QLIKE-trained,11.0,28.0
turbulent_top_10pct,GNNHAR1L_M_IV,24,1.1503463983535767,0.010312954895198345,0.9517007,0.9538845,GNNHAR,1.0,True,MSE-trained,12.0,6.0
turbulent_top_10pct,GNNHAR3L_M_IV,24,1.156050205230713,0.010368157178163528,0.9564195,0.95899034,GNNHAR,3.0,True,MSE-trained,13.0,8.0
turbulent_top_10pct,GNNHAR2L_M_IV,24,1.1580320596694946,0.010388058610260487,0.95805913,0.9608311,GNNHAR,2.0,True,MSE-trained,14.0,9.0
turbulent_top_10pct,GNNHAR5L_M_IV,24,1.1523898839950562,0.010429281741380692,0.95339125,0.96464396,GNNHAR,5.0,True,MSE-trained,15.0,7.0
turbulent_top_10pct,GNNHAR1L_Q,24,1.1726698875427246,0.010433974675834179,0.97016925,0.96507806,GNNHAR,1.0,False,QLIKE-trained,16.0,11.0
turbulent_top_10pct,GHAR_Q,24,1.1840301752090454,0.01045043021440506,0.9795678,0.96660006,GHAR,,False,QLIKE-trained,17.0,14.0
turbulent_top_10pct,GNNHAR4L_M_IV,24,1.149438500404358,0.010506597347557545,0.95094955,0.9717952,GNNHAR,4.0,True,MSE-trained,18.0,5.0
turbulent_top_10pct,GNNHAR5L_Q,24,1.1901706457138062,0.010512019507586956,0.9846479,0.9722967,GNNHAR,5.0,False,QLIKE-trained,19.0,16.0
turbulent_top_10pct,GNNHAR3L_Q,24,1.192147135734558,0.010515376925468445,0.9862831,0.97260725,GNNHAR,3.0,False,QLIKE-trained,20.0,17.0
turbulent_top_10pct,GNNHAR4L_Q,24,1.1840553283691406,0.01053107064217329,0.9795886,0.9740588,GNNHAR,4.0,False,QLIKE-trained,21.0,15.0
turbulent_top_10pct,HAR_Q,24,1.1634637117385864,0.0105366175994277,0.96255285,0.9745719,HAR,,False,QLIKE-trained,22.0,10.0
turbulent_top_10pct,GNNHAR2L_Q,24,1.1800893545150757,0.010559928603470325,0.9763075,0.976728,GNNHAR,2.0,False,QLIKE-trained,23.0,12.0
turbulent_top_10pct,GHAR_M,24,1.209134578704834,0.01066174078732729,1.0003371,0.986145,GHAR,,False,MSE-trained,24.0,27.0
turbulent_top_10pct,GNNHAR1L_M,24,1.1823272705078125,0.01068385224789381,0.97815895,0.9881902,GNNHAR,1.0,False,MSE-trained,25.0,13.0
turbulent_top_10pct,GHAR3H_M,24,1.2166250944137573,0.010698904283344746,1.0065341,0.98958236,GHAR,,False,MSE-trained,26.0,32.0
turbulent_top_10pct,GHAR2H_M,24,1.215933918952942,0.010734501294791698,1.0059623,0.99287486,GHAR,,False,MSE-trained,27.0,30.0
turbulent_top_10pct,GNNHAR3L_M,24,1.203792691230774,0.010739373974502087,0.9959177,0.9933256,GNNHAR,3.0,False,MSE-trained,28.0,21.0
turbulent_top_10pct,HAR_M,24,1.2087271213531494,0.010811534710228443,1.0,1.0,HAR,,False,MSE-trained,29.0,25.0
turbulent_top_10pct,GNNHAR4L_M,24,1.2089682817459106,0.010963519103825092,1.0001996,1.0140576,GNNHAR,4.0,False,MSE-trained,30.0,26.0
turbulent_top_10pct,GNNHAR2L_M,24,1.2032949924468994,0.010978671722114086,0.9955059,1.0154592,GNNHAR,2.0,False,MSE-trained,31.0,20.0
turbulent_top_10pct,GNNHAR5L_M,24,1.211829423904419,0.011248248629271984,1.0025666,1.0403934,GNNHAR,5.0,False,MSE-trained,32.0,29.0
