GHAR2H_M,GHAR2H_M_IV,GHAR3H_M,GHAR3H_M_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.21476035,0.17385279,0.21833962,0.17276134,0.21136071,0.17450884,0.19252163,0.16997498,0.21185224,0.17310257,0.19402699,0.16855371,0.21939386,0.17598118,0.1959939,0.17039365,0.22031559,0.17411566,0.19553621,0.17106426,0.22080745,0.17352803,0.19616121,0.1696699,0.22329502,0.174915,0.19652948,0.17021567,0.20798971,0.1812544,0.19120722,0.1731523
1.0962723,1.1347356,1.0920566,1.135095,1.0981022,1.1364756,1.1364782,1.1250799,1.0890007,1.1228074,1.1289227,1.1261344,1.0826256,1.1504972,1.1247821,1.1312485,1.075638,1.1352344,1.1310647,1.1518596,1.0773729,1.1155386,1.1298627,1.1356664,1.0724038,1.1330513,1.1286198,1.122739,1.1120311,1.1646051,1.1488615,1.143048
0.50614285,0.42849052,0.50623554,0.42815772,0.50790507,0.427236,0.5033249,0.44864982,0.50594884,0.43879908,0.5038536,0.4473186,0.5040246,0.43748948,0.5017598,0.4474969,0.5047919,0.42866617,0.5011684,0.4530117,0.50597984,0.42987177,0.50157356,0.4469349,0.504805,0.42781296,0.50179905,0.44716734,0.49725538,0.4326809,0.50036883,0.4525101
0.09813786,0.122247666,0.098398775,0.12240936,0.097170494,0.121980995,0.09477162,0.120487384,0.096989125,0.12286169,0.09468006,0.119752906,0.09782969,0.1336918,0.09512548,0.12367924,0.09735015,0.11971082,0.09523,0.1291195,0.09764749,0.13123238,0.09554381,0.12680282,0.098691344,0.12043888,0.095784746,0.120716706,0.089532234,0.13310494,0.09205336,0.12508534
0.5624885,0.56913835,0.56040585,0.5701514,0.56483185,0.5670498,0.58392805,0.5735646,0.5639078,0.58527726,0.5870513,0.5738107,0.56586164,0.5623567,0.58627665,0.56838167,0.5739093,0.57238007,0.5831965,0.5666957,0.57703054,0.5647606,0.58275616,0.5656989,0.57076645,0.56825054,0.5821028,0.5701583,0.57575244,0.564956,0.5893688,0.56402594
0.22360365,0.21837512,0.22368765,0.21925536,0.22665808,0.21601796,0.23896202,0.22325638,0.23074615,0.23228191,0.2418915,0.22313495,0.22936541,0.2106514,0.24121083,0.21857622,0.23591177,0.22138122,0.23943828,0.21628381,0.23466434,0.21431707,0.23835842,0.21581963,0.24076359,0.2153109,0.23900302,0.22064507,0.23430869,0.20762481,0.24330345,0.21344633
0.042450536,0.049437817,0.042778328,0.049823783,0.04179538,0.048505396,0.038912486,0.048953917,0.042956058,0.05893205,0.04153229,0.048118323,0.046053514,0.049012184,0.040883213,0.04727784,0.048259184,0.0512311,0.038966775,0.04659274,0.04857047,0.049675327,0.03991844,0.0474268,0.049000215,0.048619494,0.040701233,0.047272712,0.040515784,0.049268905,0.038238592,0.044289265
0.099461146,0.06239074,0.10082207,0.06170987,0.09744915,0.06375624,0.08667377,0.057657205,0.096985,0.063313805,0.086709835,0.05728185,0.10069853,0.06525539,0.08730887,0.05832225,0.09770837,0.063210115,0.08659761,0.063141815,0.098617546,0.058803502,0.08691455,0.059869584,0.09802189,0.06138246,0.08661794,0.058701493,0.09888076,0.07171981,0.087132014,0.062497787
0.16348067,0.16145533,0.16184543,0.16145867,0.1629163,0.16096577,0.16421522,0.16264437,0.1633581,0.16462183,0.16423269,0.16281578,0.16691539,0.1699165,0.16393222,0.16306391,0.16491301,0.16119775,0.16478062,0.16330537,0.16423413,0.16003858,0.16472916,0.16324346,0.1652667,0.15879948,0.16461903,0.1625438,0.16075464,0.1573419,0.16550037,0.16189337
1.2804668,1.1751803,1.2822675,1.174389,1.2803788,1.1744307,1.2768527,1.2149454,1.2806711,1.1813103,1.2769406,1.2124702,1.2850147,1.1911715,1.2784002,1.2153207,1.2819062,1.1735094,1.2777677,1.2114067,1.2799009,1.1781166,1.2793721,1.2134441,1.2800144,1.1806136,1.2773072,1.2126478,1.2650992,1.1781596,1.2695442,1.2245091
