family,baseline_qlike,real_iv_qlike,fake_iv_qlike,total_iv_improvement,genuine_information_gain,parameter_expansion_gain
HAR,0.0008219653973355889,0.0007928115664981306,0.000820704095531255,2.9153830837458372e-05,2.7892529033124447e-05,1.2613018043339252e-06
GHAR,0.0008110854541882873,0.000784933683462441,0.0008136119577102363,2.615177072584629e-05,2.8678274247795343e-05,-2.526503521949053e-06
GNNHAR1L,0.0008469405584037304,0.0008347268449142575,0.0008701679762452841,1.2213713489472866e-05,3.5441131331026554e-05,-2.3227417841553688e-05
