model,model_class,depth,uses_iv,training_loss,forecast_mad_time_series,mean_cross_section_std,mean_cross_section_cv,diagnostic_level,note
GHAR2H_M,GHAR,,False,MSE-trained,0.7748063423556499,14.286936205664258,0.4699734041633193,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR3H_M,GHAR,,False,MSE-trained,0.7741171881784469,14.28484218927138,0.4698778343826835,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_M,GHAR,,False,MSE-trained,0.7764668613453265,14.294111563696992,0.47024603530494835,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR2H_Q,GHAR,,False,QLIKE-trained,0.7841896967797974,35.79835756818012,1.1149670718731726,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR3H_Q,GHAR,,False,QLIKE-trained,0.7845617042802713,35.85230902452461,1.116924059265364,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_Q,GHAR,,False,QLIKE-trained,0.7874668025935546,37.701803264690135,1.1717018984922325,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR2H_M_IV,GHAR,,True,MSE-trained,0.7581710620106071,14.387145597991088,0.46987213512998344,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR3H_M_IV,GHAR,,True,MSE-trained,0.7617712958119298,14.408812822704348,0.4703425574881551,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_M_IV,GHAR,,True,MSE-trained,0.7588219273607516,14.408995276482623,0.470425202694656,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR2H_Q_IV,GHAR,,True,QLIKE-trained,0.7490058605610999,32.1364072212494,1.015622673483959,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR3H_Q_IV,GHAR,,True,QLIKE-trained,0.7481037775048593,32.11002676733239,1.0151641436856877,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_Q_IV,GHAR,,True,QLIKE-trained,0.7515976674819963,31.08282590656033,0.9794627600044746,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_M,GNNHAR,1.0,False,MSE-trained,0.8702984063149968,11.278938205602229,0.3144394151227134,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_M,GNNHAR,2.0,False,MSE-trained,0.8421071826550601,10.766123613001415,0.2994020661721098,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_M,GNNHAR,3.0,False,MSE-trained,0.8634664835012343,11.079044032727595,0.3090694526895694,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR4L_M,GNNHAR,4.0,False,MSE-trained,0.8525588437565245,10.971354128467484,0.30567980190423655,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR5L_M,GNNHAR,5.0,False,MSE-trained,0.8695657569721079,11.28232234891934,0.31457939961053866,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_Q,GNNHAR,1.0,False,QLIKE-trained,0.85258536548118,17.89897857534976,0.5284026998071292,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_Q,GNNHAR,2.0,False,QLIKE-trained,0.8354042751121259,17.318953642985782,0.5135150947210287,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_Q,GNNHAR,3.0,False,QLIKE-trained,0.8456388293323235,17.904672289300144,0.5286343152687183,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR4L_Q,GNNHAR,4.0,False,QLIKE-trained,0.8652965409335323,17.108735965398548,0.5129458923492419,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR5L_Q,GNNHAR,5.0,False,QLIKE-trained,0.843994621128028,17.96620131347447,0.5307107592801917,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_M_IV,GNNHAR,1.0,True,MSE-trained,0.8679836449500802,11.350439827935245,0.3157141025221075,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_M_IV,GNNHAR,2.0,True,MSE-trained,0.8717074381119186,11.429917338080305,0.31790515376420564,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_M_IV,GNNHAR,3.0,True,MSE-trained,0.8662455770457298,11.329217187613024,0.31520495319045533,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR4L_M_IV,GNNHAR,4.0,True,MSE-trained,0.8689602156220272,11.348548097389417,0.3157305563706426,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR5L_M_IV,GNNHAR,5.0,True,MSE-trained,0.8667376180361418,11.355592055799603,0.3158504549788646,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_Q_IV,GNNHAR,1.0,True,QLIKE-trained,0.8478972556660537,17.22381859121764,0.5073942811912173,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_Q_IV,GNNHAR,2.0,True,QLIKE-trained,0.8390645148785867,16.89163065563632,0.49808284433359606,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_Q_IV,GNNHAR,3.0,True,QLIKE-trained,0.8371737637096228,16.743251834264534,0.4935797375581551,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR4L_Q_IV,GNNHAR,4.0,True,QLIKE-trained,0.8370137788476177,17.057316487106554,0.5031030011352534,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR5L_Q_IV,GNNHAR,5.0,True,QLIKE-trained,0.8343939350245658,16.79931744666175,0.4953337256592446,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
HAR_M,HAR,,False,MSE-trained,0.7793215035830461,14.302037289885016,0.4706167164461632,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
HAR_Q,HAR,,False,QLIKE-trained,0.7835887103663937,38.2212263539048,1.1799558703209148,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
HAR_M_IV,HAR,,True,MSE-trained,0.7604413017355527,14.416994456273223,0.47067080479316503,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
