GHAR2H_M,GHAR2H_M_IV,GHAR2H_Q,GHAR2H_Q_IV,GHAR3H_M,GHAR3H_M_IV,GHAR3H_Q,GHAR3H_Q_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
45.198723,46.809612,4208.646,2716.2725,45.19922,46.8746,4438.757,2701.9705,45.188896,41.25345,5761.1284,1506.0927,107.91414,104.47778,697.36743,495.33878,163.04993,109.876595,652.0147,417.4152,122.398865,108.43776,709.3337,365.76584,140.04381,123.408035,700.8069,493.17657,105.72621,111.532845,748.2603,379.0493,45.21884,41.264626,5606.9,3163.6584
11.831744,17.09088,195.2459,743.76044,11.840592,17.078836,194.76195,742.8571,11.84606,11.638023,881.1234,84.242294,71.80306,73.698654,167.92854,140.76837,162.49872,93.94227,166.23651,110.19391,102.391685,84.39616,162.67575,56.393955,134.10684,116.24897,157.1729,141.68622,70.88569,90.56746,173.54782,56.750835,12.384481,11.880144,132.08989,646.9624
28.496521,29.62748,162.38924,821.5611,28.547174,29.633675,164.51857,824.3382,28.503784,27.5161,1032.8309,112.40289,79.03024,80.12958,202.6753,161.9873,171.81288,100.0527,175.3797,135.89337,106.70201,89.903465,178.20372,74.92,141.1342,123.38846,170.27951,154.36821,77.97767,95.42722,183.74722,75.83252,28.535849,27.448551,195.58252,804.9662
11.762821,13.626744,179.17323,648.16034,11.786403,13.641441,181.14957,650.5165,11.782155,10.975581,938.74664,137.7373,64.1787,64.87599,148.37782,124.13987,176.77725,86.89374,130.62415,114.156044,95.25618,74.83418,135.35252,68.24065,139.36829,113.49046,130.05495,117.50601,62.798138,80.65832,137.82005,69.79004,11.848642,10.964054,247.16353,780.7535
13.504284,14.703099,332.13947,611.8737,13.459208,14.711204,332.51456,612.9431,13.496781,12.699275,1060.5103,256.233,63.140182,63.307346,136.35057,120.411606,179.43106,85.40867,122.38198,122.80929,92.70652,72.56309,130.09477,87.0258,138.87082,112.81375,126.68207,112.667366,61.638344,78.15798,130.79071,89.34135,13.544754,12.735365,413.31085,884.6576
46.13127,45.584732,384.46054,643.75616,46.148663,45.595825,383.4328,644.78735,46.113724,43.955574,1140.6875,285.50018,94.58933,92.68281,168.4962,151.51042,211.53796,109.17506,156.11755,151.25116,122.79524,100.128105,163.19234,115.03071,169.652,131.72263,160.67575,143.05338,92.973724,105.053185,164.74391,117.789024,46.068943,43.869415,477.01953,908.611
4.549942,10.090352,343.49808,1889.1917,4.630658,10.115311,341.05798,1886.5594,4.505948,5.066419,2337.8647,232.45673,58.762505,60.395844,326.26532,269.03516,207.66864,90.66197,282.8019,187.84682,99.67417,73.49998,307.84198,76.237274,158.10896,123.65713,288.12976,257.96915,55.960056,81.638954,329.73044,79.35334,4.3874035,5.0052466,484.22345,1791.0532
2.878822,4.829629,418.57635,2312.0896,2.8908598,4.857136,419.48856,2307.4778,2.887965,2.9011807,3122.5613,283.7602,48.23393,49.633152,394.2225,326.5882,195.75533,76.16596,342.56265,244.06503,82.693726,59.974987,376.6506,95.126175,143.43947,109.992256,357.03128,312.21265,46.69644,67.18157,400.0296,99.86212,2.9573536,2.8441122,692.8771,2411.0562
3.754862,4.583689,2548.163,1620.4623,3.7804968,4.7948675,2530.7617,1619.9143,3.7166963,4.612124,2692.9912,1725.0979,43.294197,43.75379,290.37326,240.02937,42.42559,42.6774,250.52435,225.0616,43.3192,43.13921,290.55124,238.35356,42.34523,42.78714,280.28714,244.48535,43.220177,47.44673,287.9478,242.00815,3.6818457,4.5649295,3565.4624,2353.4307
6.0114284,6.2324576,2620.8347,1670.1118,6.0800323,6.0879593,2601.8774,1671.7004,5.889516,6.3069305,2739.0952,1763.0535,48.77085,48.978355,304.44968,255.605,48.165966,48.280407,269.6493,232.34776,48.869934,48.557636,307.15668,253.61967,48.180714,48.274982,283.2083,252.19206,48.84494,48.31297,305.46994,257.03702,5.7247877,6.19306,3636.4282,2405.0967
