model,metric,mean_loss,rank_mean_loss,mcs_included,mcs_pvalue,n_dates,alpha,bootstrap,block_size,algorithm,status
GHAR_M_IV,QLIKE,0.004429481457918882,1,True,1.0,223,0.05,10000,2,SQ,ok
HAR_M_IV,QLIKE,0.004434080794453621,2,True,0.1121,223,0.05,10000,2,SQ,ok
GHAR2H_M_IV,QLIKE,0.004509626422077417,3,False,0.0152,223,0.05,10000,2,SQ,ok
GHAR_M,QLIKE,0.0045420266687870026,4,False,0.0117,223,0.05,10000,2,SQ,ok
GHAR2H_M,QLIKE,0.004542411305010319,5,False,0.0117,223,0.05,10000,2,SQ,ok
GHAR3H_M,QLIKE,0.004543381277471781,6,False,0.0117,223,0.05,10000,2,SQ,ok
HAR_M,QLIKE,0.0045509301126003265,7,False,0.0117,223,0.05,10000,2,SQ,ok
GHAR3H_M_IV,QLIKE,0.004643161781132221,8,False,0.0017,223,0.05,10000,2,SQ,ok
GHAR3H_Q_IV,QLIKE,0.011926182545721531,9,False,0.0,223,0.05,10000,2,SQ,ok
GHAR2H_Q_IV,QLIKE,0.01193999219685793,10,False,0.0,223,0.05,10000,2,SQ,ok
HAR_Q_IV,QLIKE,0.012180813588202,11,False,0.0,223,0.05,10000,2,SQ,ok
GHAR_Q_IV,QLIKE,0.012278624810278416,12,False,0.0,223,0.05,10000,2,SQ,ok
GHAR_Q,QLIKE,0.012975095771253109,13,False,0.0,223,0.05,10000,2,SQ,ok
GHAR3H_Q,QLIKE,0.013176042586565018,14,False,0.0,223,0.05,10000,2,SQ,ok
GHAR2H_Q,QLIKE,0.013194956816732883,15,False,0.0,223,0.05,10000,2,SQ,ok
HAR_Q,QLIKE,0.013244589790701866,16,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR2L_Q_IV,QLIKE,0.03550643101334572,17,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR4L_Q_IV,QLIKE,0.0355326272547245,18,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR1L_Q_IV,QLIKE,0.03560175001621246,19,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR3L_Q_IV,QLIKE,0.035605065524578094,20,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR5L_Q_IV,QLIKE,0.035617273300886154,21,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR3L_Q,QLIKE,0.03574276342988014,22,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR5L_Q,QLIKE,0.035753946751356125,23,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR1L_Q,QLIKE,0.035758037120103836,24,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR2L_Q,QLIKE,0.03710126131772995,25,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR4L_Q,QLIKE,0.045351557433605194,26,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR1L_M_IV,QLIKE,0.04965972155332565,27,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR5L_M,QLIKE,0.049690160900354385,28,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR1L_M,QLIKE,0.04970374330878258,29,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR3L_M_IV,QLIKE,0.049766335636377335,30,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR5L_M_IV,QLIKE,0.0498352013528347,31,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR2L_M_IV,QLIKE,0.0498582199215889,32,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR3L_M,QLIKE,0.05000283941626549,33,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR4L_M_IV,QLIKE,0.05027923360466957,34,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR4L_M,QLIKE,0.05050703510642052,35,False,0.0,223,0.05,10000,2,SQ,ok
GNNHAR2L_M,QLIKE,0.051234252750873566,36,False,0.0,223,0.05,10000,2,SQ,ok
