model,mse,qlike,mse_ratio_vs_HAR_M,qlike_ratio_vs_HAR_M,model_class,depth,uses_iv,training_loss
GHAR_M_IV,10.268301010131836,0.004429481457918882,0.9656995345453189,0.9733134432574158,GHAR,,True,MSE-trained
HAR_M_IV,10.267054557800293,0.004434080794453621,0.9655823098520404,0.9743240798571745,HAR,,True,MSE-trained
GHAR2H_M_IV,10.482673645019531,0.004509626422077417,0.9858605673711031,0.990924121113495,GHAR,,True,MSE-trained
GHAR_M,10.633044242858887,0.0045420266687870026,1.0000024216271757,0.9980435990900689,GHAR,,False,MSE-trained
GHAR2H_M,10.643811225891113,0.004542411305010319,1.0010150205461612,0.9981281172465335,GHAR,,False,MSE-trained
GHAR3H_M,10.648650169372559,0.004543381277471781,1.0014701070753846,0.9983412544377148,GHAR,,False,MSE-trained
HAR_M,10.633018493652344,0.0045509301126003265,1.0,1.0,HAR,,False,MSE-trained
GHAR3H_M_IV,10.65927791595459,0.004643161781132221,1.002469611269643,1.0202665534846447,GHAR,,True,MSE-trained
GHAR3H_Q_IV,938.39306640625,0.011926182545721531,88.25274469017882,2.6206033163860445,GHAR,,True,QLIKE-trained
GHAR2H_Q_IV,939.3195190429688,0.01193999219685793,88.3398744771976,2.623637784240904,GHAR,,True,QLIKE-trained
HAR_Q_IV,1322.4234619140625,0.012180813588202,124.36952523909532,2.6765547452544998,HAR,,True,QLIKE-trained
GHAR_Q_IV,886.509765625,0.012278624810278416,83.37329293222099,2.6980473236189977,GHAR,,True,QLIKE-trained
GHAR_Q,1712.7518310546875,0.012975095771253109,161.07860924695646,2.851086580153909,GHAR,,False,QLIKE-trained
GHAR3H_Q,1514.7830810546875,0.013176042586565018,142.4603071986545,2.895241689184377,GHAR,,False,QLIKE-trained
GHAR2H_Q,1509.9859619140625,0.013194956816732883,142.00915410948338,2.899397813251301,GHAR,,False,QLIKE-trained
HAR_Q,1923.3045654296875,0.013244589790701866,180.88039314309987,2.91030392974638,HAR,,False,QLIKE-trained
GNNHAR2L_Q_IV,136.64480590820312,0.03550643101334572,12.850989207794267,7.802016320803909,GNNHAR,2.0,True,QLIKE-trained
GNNHAR4L_Q_IV,144.9444580078125,0.0355326272547245,13.63154386445776,7.807772559799154,GNNHAR,4.0,True,QLIKE-trained
GNNHAR1L_Q_IV,146.9319305419922,0.03560175001621246,13.818459041494851,7.822961270629183,GNNHAR,1.0,True,QLIKE-trained
GNNHAR3L_Q_IV,137.48731994628906,0.035605065524578094,12.930224848980155,7.823689804859241,GNNHAR,3.0,True,QLIKE-trained
GNNHAR5L_Q_IV,140.78915405273438,0.035617273300886154,13.240751357366877,7.8263722842658705,GNNHAR,5.0,True,QLIKE-trained
GNNHAR3L_Q,183.82977294921875,0.03574276342988014,17.28857831470534,7.853946895584674,GNNHAR,3.0,False,QLIKE-trained
GNNHAR5L_Q,187.69541931152344,0.035753946751356125,17.652129489248335,7.856404266099992,GNNHAR,5.0,False,QLIKE-trained
GNNHAR1L_Q,181.3087615966797,0.035758037120103836,17.05148558755133,7.85730306450966,GNNHAR,1.0,False,QLIKE-trained
GNNHAR2L_Q,171.25494384765625,0.03710126131772995,16.10595748985966,8.152456838439758,GNNHAR,2.0,False,QLIKE-trained
GNNHAR4L_Q,211.38621520996094,0.045351557433605194,19.88016999464013,9.96533814220497,GNNHAR,4.0,False,QLIKE-trained
GNNHAR1L_M_IV,66.57142639160156,0.04965972155332565,6.260821085879151,10.911993883586778,GNNHAR,1.0,True,MSE-trained
GNNHAR5L_M,66.69436645507812,0.049690160900354385,6.272383189674038,10.918682482680941,GNNHAR,5.0,False,MSE-trained
GNNHAR1L_M,66.79853820800781,0.04970374330878258,6.282180196327594,10.921667017290819,GNNHAR,1.0,False,MSE-trained
GNNHAR3L_M_IV,67.21566009521484,0.049766335636377335,6.3214091215341135,10.93542076126097,GNNHAR,3.0,True,MSE-trained
GNNHAR5L_M_IV,67.63453674316406,0.0498352013528347,6.360803076148156,10.950552990223725,GNNHAR,5.0,True,MSE-trained
GNNHAR2L_M_IV,67.84339141845703,0.0498582199215889,6.380445163239197,10.955610982367016,GNNHAR,2.0,True,MSE-trained
GNNHAR3L_M,68.75743865966797,0.05000283941626549,6.466408264098713,10.987388990619918,GNNHAR,3.0,False,MSE-trained
GNNHAR4L_M_IV,69.94390869140625,0.05027923360466957,6.577991821716578,11.048122550917585,GNNHAR,4.0,True,MSE-trained
GNNHAR4L_M,71.7022933959961,0.05050703510642052,6.743362050841973,11.098178582567076,GNNHAR,4.0,False,MSE-trained
GNNHAR2L_M,74.86038970947266,0.051234252750873566,7.040370498195081,11.257973970863542,GNNHAR,2.0,False,MSE-trained
