test_date,market_rv_proxy,regime
2026-01-29,31.453297,calm_bottom_90pct
2026-01-30,32.227306,calm_bottom_90pct
2026-02-02,32.259556,calm_bottom_90pct
2026-02-03,33.82051,calm_bottom_90pct
2026-02-04,34.756393,calm_bottom_90pct
2026-02-05,35.184143,calm_bottom_90pct
2026-02-06,35.640934,calm_bottom_90pct
2026-02-09,35.68864,calm_bottom_90pct
2026-02-10,35.88053,calm_bottom_90pct
2026-02-11,36.572647,turbulent_top_10pct
2026-02-12,38.117283,turbulent_top_10pct
2026-02-13,38.405502,turbulent_top_10pct
2026-02-17,39.268417,turbulent_top_10pct
2026-02-18,39.159912,turbulent_top_10pct
2026-02-19,38.75305,turbulent_top_10pct
2026-02-20,38.250336,turbulent_top_10pct
2026-02-23,39.265747,turbulent_top_10pct
2026-02-24,38.93875,turbulent_top_10pct
2026-02-25,39.57463,turbulent_top_10pct
2026-02-26,39.578663,turbulent_top_10pct
2026-02-27,39.63176,turbulent_top_10pct
2026-03-02,39.46713,turbulent_top_10pct
2026-03-03,39.48708,turbulent_top_10pct
2026-03-04,39.306637,turbulent_top_10pct
2026-03-05,38.40439,turbulent_top_10pct
2026-03-06,37.466816,turbulent_top_10pct
2026-03-09,35.819935,calm_bottom_90pct
2026-03-10,35.649174,calm_bottom_90pct
2026-03-11,35.425034,calm_bottom_90pct
2026-03-12,35.387257,calm_bottom_90pct
2026-03-13,34.52265,calm_bottom_90pct
2026-03-16,32.931713,calm_bottom_90pct
2026-03-17,32.62735,calm_bottom_90pct
2026-03-18,32.621113,calm_bottom_90pct
2026-03-19,32.230625,calm_bottom_90pct
2026-03-20,32.39637,calm_bottom_90pct
2026-03-23,32.83305,calm_bottom_90pct
2026-03-24,32.874077,calm_bottom_90pct
2026-03-25,32.02813,calm_bottom_90pct
2026-03-26,32.07154,calm_bottom_90pct
2026-03-27,32.025482,calm_bottom_90pct
2026-03-30,31.408396,calm_bottom_90pct
2026-03-31,32.62287,calm_bottom_90pct
2026-04-01,32.578644,calm_bottom_90pct
2026-04-02,32.316837,calm_bottom_90pct
2026-04-06,31.574364,calm_bottom_90pct
2026-04-07,31.231426,calm_bottom_90pct
2026-04-08,33.062046,calm_bottom_90pct
2026-04-09,33.04726,calm_bottom_90pct
2026-04-10,33.11267,calm_bottom_90pct
2026-04-13,32.845142,calm_bottom_90pct
2026-04-14,32.507793,calm_bottom_90pct
2026-04-15,32.953053,calm_bottom_90pct
2026-04-16,33.23987,calm_bottom_90pct
2026-04-17,33.1755,calm_bottom_90pct
2026-04-20,32.39461,calm_bottom_90pct
2026-04-21,32.58216,calm_bottom_90pct
2026-04-22,32.68639,calm_bottom_90pct
2026-04-23,33.810024,calm_bottom_90pct
2026-04-24,34.426502,calm_bottom_90pct
2026-04-27,33.235523,calm_bottom_90pct
2026-04-28,33.476078,calm_bottom_90pct
2026-04-29,33.808086,calm_bottom_90pct
2026-04-30,34.06982,calm_bottom_90pct
2026-05-01,34.112003,calm_bottom_90pct
2026-05-04,34.462963,calm_bottom_90pct
2026-05-05,34.42327,calm_bottom_90pct
2026-05-06,35.702183,calm_bottom_90pct
2026-05-07,36.632786,turbulent_top_10pct
2026-05-08,35.584354,calm_bottom_90pct
2026-05-11,35.98795,turbulent_top_10pct
2026-05-12,35.762672,calm_bottom_90pct
2026-05-13,35.458176,calm_bottom_90pct
2026-05-14,35.605946,calm_bottom_90pct
2026-05-15,35.714832,calm_bottom_90pct
2026-05-18,35.91833,turbulent_top_10pct
2026-05-19,35.6655,calm_bottom_90pct
2026-05-20,36.445614,turbulent_top_10pct
2026-05-21,36.356884,turbulent_top_10pct
2026-05-22,36.361267,turbulent_top_10pct
2026-05-26,35.31806,calm_bottom_90pct
2026-05-27,35.597954,calm_bottom_90pct
2026-05-28,35.60873,calm_bottom_90pct
2026-05-29,35.152225,calm_bottom_90pct
2026-06-01,35.29011,calm_bottom_90pct
