regime,model,n_dates,mse,qlike,mse_ratio_vs_HAR_M,qlike_ratio_vs_HAR_M,model_class,depth,uses_iv,training_loss,rank_qlike_within_regime,rank_mse_within_regime
calm_bottom_90pct,GHAR_M_IV,200,10.273153305053711,0.0045456173829734325,0.9682424189256735,0.9760214984633742,GHAR,,True,MSE-trained,1.0,2.0
calm_bottom_90pct,HAR_M_IV,200,10.271471977233887,0.004550726152956486,0.9680839541518175,0.9771184384198346,HAR,,True,MSE-trained,2.0,1.0
calm_bottom_90pct,GHAR2H_M_IV,200,10.509363174438477,0.00463445670902729,0.9905051466895738,0.9950968153746368,GHAR,,True,MSE-trained,3.0,3.0
calm_bottom_90pct,GHAR2H_M,200,10.622511863708496,0.004646979738026857,1.0011693855404804,0.9977857230630051,GHAR,,False,MSE-trained,4.0,6.0
calm_bottom_90pct,GHAR_M,200,10.611310958862305,0.0046472689136862755,1.0001137027447125,0.9978478140039369,GHAR,,False,MSE-trained,5.0,5.0
calm_bottom_90pct,GHAR3H_M,200,10.627326965332031,0.004647467285394669,1.0016232077998106,0.9978904077895036,GHAR,,False,MSE-trained,6.0,7.0
calm_bottom_90pct,HAR_M,200,10.61010456085205,0.004657292272895575,1.0,1.0,HAR,,False,MSE-trained,7.0,4.0
calm_bottom_90pct,GHAR3H_M_IV,200,10.70343017578125,0.004781860392540693,1.0087959184939177,1.0267468976276362,GHAR,,True,MSE-trained,8.0,8.0
calm_bottom_90pct,GHAR3H_Q_IV,200,1019.9781494140625,0.012035723775625229,96.13271420316262,2.58427495428417,GHAR,,True,QLIKE-trained,9.0,30.0
calm_bottom_90pct,GHAR2H_Q_IV,200,1021.1320190429688,0.012045813724398613,96.24146615959137,2.5864414381941674,GHAR,,True,QLIKE-trained,10.0,31.0
calm_bottom_90pct,HAR_Q_IV,200,1442.3109130859375,0.012260070070624352,135.93748344456577,2.6324459261393764,HAR,,True,QLIKE-trained,11.0,32.0
calm_bottom_90pct,GHAR_Q_IV,200,960.935546875,0.012400456704199314,90.56796201807002,2.662589328217013,GHAR,,True,QLIKE-trained,12.0,29.0
calm_bottom_90pct,GHAR_Q,200,1879.0762939453125,0.013138959184288979,177.1025236526427,2.821158392990463,GHAR,,False,QLIKE-trained,13.0,35.0
calm_bottom_90pct,GHAR3H_Q,200,1658.17138671875,0.013369393534958363,156.28228517529234,2.8706365741238353,GHAR,,False,QLIKE-trained,14.0,34.0
calm_bottom_90pct,GHAR2H_Q,200,1653.127685546875,0.013390656560659409,155.80691745926768,2.875202108012441,GHAR,,False,QLIKE-trained,15.0,33.0
calm_bottom_90pct,HAR_Q,200,2108.66015625,0.013411259278655052,198.74075171985513,2.8796258625866487,HAR,,False,QLIKE-trained,16.0,36.0
calm_bottom_90pct,GNNHAR2L_Q_IV,200,147.0445556640625,0.03763290494680405,13.85891673552499,8.08042586586617,GNNHAR,2.0,True,QLIKE-trained,17.0,19.0
calm_bottom_90pct,GNNHAR4L_Q_IV,200,156.16021728515625,0.037666622549295425,14.718065820137,8.08766560958756,GNNHAR,4.0,True,QLIKE-trained,18.0,22.0
calm_bottom_90pct,GNNHAR1L_Q_IV,200,158.21517944335938,0.037738051265478134,14.911745547458942,8.103002571924756,GNNHAR,1.0,True,QLIKE-trained,19.0,23.0
calm_bottom_90pct,GNNHAR3L_Q_IV,200,147.73355102539062,0.03774672746658325,13.923854395411047,8.104865500123532,GNNHAR,3.0,True,QLIKE-trained,20.0,20.0
calm_bottom_90pct,GNNHAR5L_Q_IV,200,151.36834716796875,0.03775928169488907,14.266433125123983,8.107561106834513,GNNHAR,5.0,True,QLIKE-trained,21.0,21.0
calm_bottom_90pct,GNNHAR3L_Q,200,199.2052001953125,0.037892259657382965,18.77504590579786,8.136113741005188,GNNHAR,3.0,False,QLIKE-trained,22.0,26.0
calm_bottom_90pct,GNNHAR5L_Q,200,203.44854736328125,0.037900447845458984,19.174980434588967,8.137871884492053,GNNHAR,5.0,False,QLIKE-trained,23.0,27.0
calm_bottom_90pct,GNNHAR1L_Q,200,196.35552978515625,0.03790804743766785,18.50646510211091,8.139503646417987,GNNHAR,1.0,False,QLIKE-trained,24.0,25.0
calm_bottom_90pct,GNNHAR2L_Q,200,185.44078063964844,0.039414774626493454,17.477752417621463,8.463023644850216,GNNHAR,2.0,False,QLIKE-trained,25.0,24.0
calm_bottom_90pct,GNNHAR4L_Q,200,210.53530883789062,0.04345395043492317,19.84290613069919,9.330303508718078,GNNHAR,4.0,False,QLIKE-trained,26.0,28.0
calm_bottom_90pct,GNNHAR1L_M_IV,200,70.1491928100586,0.052735671401023865,6.611545853081133,11.32324713824253,GNNHAR,1.0,True,MSE-trained,27.0,9.0
calm_bottom_90pct,GNNHAR5L_M,200,70.23603820800781,0.05275857076048851,6.61973101256294,11.328164020869355,GNNHAR,5.0,False,MSE-trained,28.0,10.0
calm_bottom_90pct,GNNHAR1L_M,200,70.35128784179688,0.052775200456380844,6.630593264968472,11.331734699907283,GNNHAR,1.0,False,MSE-trained,29.0,11.0
calm_bottom_90pct,GNNHAR3L_M_IV,200,70.86600494384766,0.05285458266735077,6.679105237597839,11.348779413083632,GNNHAR,3.0,True,MSE-trained,30.0,12.0
calm_bottom_90pct,GNNHAR5L_M_IV,200,71.33975219726562,0.05293189361691475,6.72375581108662,11.365379391146831,GNNHAR,5.0,True,MSE-trained,31.0,13.0
calm_bottom_90pct,GNNHAR2L_M_IV,200,71.62596893310547,0.0529634952545166,6.7507316749151345,11.372164801155511,GNNHAR,2.0,True,MSE-trained,32.0,14.0
calm_bottom_90pct,GNNHAR3L_M,200,72.53520202636719,0.05310835689306259,6.836426692155257,11.403269063043702,GNNHAR,3.0,False,MSE-trained,33.0,15.0
calm_bottom_90pct,GNNHAR4L_M_IV,200,73.96278381347656,0.05343317613005638,6.970975958745588,11.473013287361374,GNNHAR,4.0,True,MSE-trained,34.0,16.0
