model,mse,qlike,mse_ratio,qlike_ratio
GHAR_M_IV,10.268301963806152,0.004429481457918882,0.9656996242352143,0.9733134432574158
HAR_M_IV,10.26705551147461,0.004434080328792334,0.9655823995419358,0.9743239775349513
GHAR2H_M_IV,10.482673645019531,0.004509626887738705,0.9858605673711031,0.9909242234357183
GHAR_M,10.633045196533203,0.004542026203125715,1.000002511317071,0.9980434967678457
GHAR2H_M,10.643810272216797,0.004542411770671606,1.001014930856266,0.9981282195687569
GHAR3H_M,10.648650169372559,0.004543381277471781,1.0014701070753846,0.9983412544377148
HAR_M,10.633018493652344,0.0045509301126003265,1.0,1.0
GHAR3H_M_IV,10.659278869628906,0.004643161781132221,1.0024697009595385,1.0202665534846447
GHAR3H_Q_IV,938.3931274414062,0.011926181614398956,88.25275043033211,2.6206031117415978
GHAR2H_Q_IV,939.3196411132812,0.011939991265535355,88.33988595750421,2.6236375795964575
HAR_Q_IV,1322.4234619140625,0.012180814519524574,124.36952523909532,2.6765549498989465
GHAR_Q_IV,886.5098266601562,0.01227862760424614,83.37329867237429,2.698047937552338
GHAR_Q,1712.751708984375,0.012975096702575684,161.07859776664986,2.8510867847983556
GHAR3H_Q,1514.7830810546875,0.013176042586565018,142.4603071986545,2.895241689184377
GHAR2H_Q,1509.9859619140625,0.013194957748055458,142.00915410948338,2.8993980178957477
HAR_Q,1923.304443359375,0.013244587928056717,180.88038166279327,2.9103035204574867
GNNHAR2L_Q_IV,136.64480590820312,0.03550643101334572,12.850989207794267,7.802016320803909
GNNHAR4L_Q_IV,144.94444274902344,0.035532623529434204,13.631542429419433,7.807771741221367
GNNHAR1L_Q_IV,146.9319305419922,0.035601746290922165,13.818459041494851,7.8229604520513965
GNNHAR3L_Q_IV,137.4873046875,0.035605065524578094,12.930223413941828,7.823689804859241
GNNHAR5L_Q_IV,140.78916931152344,0.035617269575595856,13.240752792405203,7.8263714656880845
GNNHAR3L_Q,183.82977294921875,0.035742759704589844,17.28857831470534,7.853946077006887
GNNHAR5L_Q,187.69541931152344,0.035753943026065826,17.652129489248335,7.856403447522206
GNNHAR1L_Q,181.3087921142578,0.03575803339481354,17.051488457627983,7.857302245931873
GNNHAR2L_Q,171.25494384765625,0.03710126131772995,16.10595748985966,8.152456838439758
GNNHAR4L_Q,211.38621520996094,0.045351553708314896,19.88016999464013,9.965337323627184
GNNHAR1L_M_IV,66.57142639160156,0.049659714102745056,6.260821085879151,10.911992246431206
GNNHAR5L_M,66.6943588256836,0.049690160900354385,6.272382472154875,10.918682482680941
GNNHAR1L_M,66.79853820800781,0.04970373585820198,6.282180196327594,10.921665380135245
GNNHAR3L_M_IV,67.21566772460938,0.049766331911087036,6.321409839053277,10.935419942683183
GNNHAR5L_M_IV,67.63453674316406,0.049835193902254105,6.360803076148156,10.950551353068152
GNNHAR2L_M_IV,67.84339141845703,0.049858223646879196,6.380445163239197,10.955611800944803
GNNHAR3L_M,68.75743865966797,0.05000283569097519,6.466408264098713,10.987388172042131
GNNHAR4L_M_IV,69.94390869140625,0.05027922987937927,6.577991821716578,11.048121732339798
GNNHAR4L_M,71.7022933959961,0.050507038831710815,6.743362050841973,11.098179401144863
GNNHAR2L_M,74.8603744506836,0.05123426020145416,7.040369063156755,11.257975608019116
